registry_id,stat_land_combined,geo_id_revised,Stone_Unique_ID_revised,note,uncertainty_class
110001867846,F2,1005150000728,104060,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110001867953,F2,0402650000004,302800,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110001867953,F2,0402650000025,293541,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110001869443,F2,0410290010007,338069,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110001869620,F2,0422350030035,277123,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110001869620,F2,0422350030213,239520,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110001870039,F2,1167500020005,260710,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110001870075,F2,1044230000001,1196648,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110001995440,F2,0410110000046,329725,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110001995440,F2,0410110000288,372064,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110002133496,F2,0291750030003,278700,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110002133735,F2,0480680000010,168809,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110002133744,F2,1318940010001,573370,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110002133995,F2,0651200000072,1120327,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110002134146,F2,0450740000222,32207,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110002344222,F2,0450020010140,302217,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110002344222,F2,0450020010185,257814,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110002344222,F2,0450020010230,240108,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110002345828,F2,0440500000017,72661,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110002371790,F2,0041730000121,554382,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110002400900,F2,0640160010133,1039129,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110002436203,F2,,2275755,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110002456351,F2,0642220000064,88958,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110005009695,F2,0341930000010,358208,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110005017677,F2,1167500020005,260710,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110005025418,F2,0451050000072,349639,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110005029851,F2,1005150000049,73868,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110005030545,F2,0421310020045,649989,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110005050176,F2,0402650020018,285760,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110005054289,F2,1368960010001,866051,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110005064688,F2,0440990010002,285969,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110005099561,F2,0612170010003,451677,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110005107516,F2,02370086110,1849580,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110005125587,F2,1005150000503,123663,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110005125587,F2,1005150000603,80490,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110005139251,F2,0650430100003,82886,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110005159265,F2,0470010000054,667213,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110005172357,F2,1005150000568,98640,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110005172357,F2,1005150000666,126596,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110005172357,F2,1005150000715,90458,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110005174337,F2,1005150000481,83218,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110005174337,F2,1005150000567,108130,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110005174337,F2,1005150000610,119356,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
